crates/payroll-core/src/payroll_engine.rs:62:5: replace round2 -> Decimal with Default::default()
crates/payroll-core/src/payroll_engine.rs:66:5: replace add_puantaj_kodu -> Result<()> with Ok(())
crates/payroll-core/src/payroll_engine.rs:67:9: delete match arm "Ç" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:68:9: delete match arm "T" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:69:9: delete match arm "G" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:70:9: delete match arm "İ" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:71:9: delete match arm "GÇ" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:72:9: delete match arm "GÇT" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:73:9: delete match arm "R" in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:67:26: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:67:26: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:68:26: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:68:26: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:69:26: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:69:26: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:70:26: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:70:26: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:71:28: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:71:28: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:72:30: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:72:30: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:73:26: replace += with -= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:73:26: replace += with *= in add_puantaj_kodu
crates/payroll-core/src/payroll_engine.rs:100:5: replace apply_statutory_segment with ()
crates/payroll-core/src/payroll_engine.rs:115:5: replace days_in_month -> Result<u32> with Ok(0)
crates/payroll-core/src/payroll_engine.rs:115:5: replace days_in_month -> Result<u32> with Ok(1)
crates/payroll-core/src/payroll_engine.rs:115:38: replace == with != in days_in_month
crates/payroll-core/src/payroll_engine.rs:118:59: replace + with - in days_in_month
crates/payroll-core/src/payroll_engine.rs:118:59: replace + with * in days_in_month
crates/payroll-core/src/payroll_engine.rs:128:5: replace full_period_sgk_day_weight -> Result<i32> with Ok(0)
crates/payroll-core/src/payroll_engine.rs:128:5: replace full_period_sgk_day_weight -> Result<i32> with Ok(1)
crates/payroll-core/src/payroll_engine.rs:128:5: replace full_period_sgk_day_weight -> Result<i32> with Ok(-1)
crates/payroll-core/src/payroll_engine.rs:128:20: replace == with != in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:128:59: replace == with != in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:130:23: replace == with != in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:131:55: replace - with + in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:131:55: replace - with / in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:132:25: replace + with - in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:132:25: replace + with * in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:132:31: replace - with + in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:132:31: replace - with / in full_period_sgk_day_weight
crates/payroll-core/src/payroll_engine.rs:139:5: replace is_prim_bearing_code -> bool with true
crates/payroll-core/src/payroll_engine.rs:139:5: replace is_prim_bearing_code -> bool with false
crates/payroll-core/src/payroll_engine.rs:140:9: replace || with && in is_prim_bearing_code
crates/payroll-core/src/payroll_engine.rs:140:25: replace && with || in is_prim_bearing_code
crates/payroll-core/src/payroll_engine.rs:140:18: replace == with != in is_prim_bearing_code
crates/payroll-core/src/payroll_engine.rs:144:5: replace parse_period_date -> Result<NaiveDate> with Ok(Default::default())
crates/payroll-core/src/payroll_engine.rs:155:5: replace validate_period -> Result<()> with Ok(())
crates/payroll-core/src/payroll_engine.rs:155:19: replace <= with > in validate_period
crates/payroll-core/src/payroll_engine.rs:155:27: delete ! in validate_period
crates/payroll-core/src/payroll_engine.rs:160:28: replace || with && in validate_period
crates/payroll-core/src/payroll_engine.rs:160:23: replace <= with > in validate_period
crates/payroll-core/src/payroll_engine.rs:160:31: delete ! in validate_period
crates/payroll-core/src/payroll_engine.rs:168:14: replace > with < in validate_period
crates/payroll-core/src/payroll_engine.rs:173:26: replace || with && in validate_period
crates/payroll-core/src/payroll_engine.rs:173:20: replace != with == in validate_period
crates/payroll-core/src/payroll_engine.rs:173:39: replace != with == in validate_period
crates/payroll-core/src/payroll_engine.rs:179:68: replace == with != in validate_period
crates/payroll-core/src/payroll_engine.rs:180:23: replace + with - in validate_period
crates/payroll-core/src/payroll_engine.rs:180:23: replace + with * in validate_period
crates/payroll-core/src/payroll_engine.rs:182:38: replace + with - in validate_period
crates/payroll-core/src/payroll_engine.rs:182:38: replace + with * in validate_period
crates/payroll-core/src/payroll_engine.rs:184:19: replace != with == in validate_period
crates/payroll-core/src/payroll_engine.rs:184:55: replace != with == in validate_period
crates/payroll-core/src/payroll_engine.rs:190:35: replace || with && in validate_period
